City,Room,Square,Price
Lviv,1,41,562500
Lviv,3,90,975000
Lviv,1,48,650000
Lviv,3,50,750000
Lviv,3,62,675000
Lviv,1,30,475000
Lviv,3,50,522500
Lviv,4,140,2320000
Lviv,2,50,562500
Lviv,2,36,247500
Lviv,3,64,787500
Lviv,4,90,1675000
Lviv,1,34,500000
Lviv,3,64,862500
Lviv,4,80,875000
Lviv,2,42,750000
Lviv,2,45,749975
Lviv,1,38,612500
Lviv,1,45,403375
Lviv,2,68,600000
Lviv,3,70,525000
Lviv,2,77,1625000
Lviv,1,37,625000
Lviv,1,33,450000
Lviv,2,75,1850000
Lviv,4,153,2975000
Lviv,1,48.6,850000
Lviv,2,43,625000
Lviv,2,48,675000
Lviv,2,45,775000
Lviv,2,45,622500
Lviv,6,190,3250000
Lviv,1,40,14000
Lviv,1,33,387500
Lviv,2,50,1137500
Lviv,1,30,525000
Lviv,2,42,525000
Lviv,3,120,1500000
Lviv,3,140,1625000
Lviv,4,164,3125000
Lviv,5,164,3125000
Lviv,2,62,675000
Lviv,3,91,1500000
Lviv,1,32.5,587500
Lviv,2,77,1625000
Lviv,2,42,625000
Lviv,2,54,750000
Lviv,1,30,512500
Lviv,2,45,612500
Lviv,1,35,500000
Lviv,2,45,550000
Kyiv,3,66,850000
Kyiv,2,47,725000
Kyiv,3,57,712500
Kyiv,2,135.6,5750000
Kyiv,3,150.5,27500
Kyiv,3,65,687500
Kyiv,2,67,1487500
Kyiv,3,94,3250000
Kyiv,3,118.5,3250000
Kyiv,1,32,504000
Kyiv,2,46,724500
Kyiv,3,120,30000
Kyiv,2,58.4,1875000
Kyiv,4,113,975000
Kyiv,4,151,2750000
Kyiv,5,150,2875000
Kyiv,4,122,2475000
Kyiv,3,102,2075000
Lodz,3,67,1250000
Lodz,3,52,487500
Lodz,3,103,2750000
Lodz,1,30,487500
Lodz,3,67,1100000
Lodz,3,69,1050000
Lodz,5,192,2225000
Lodz,1,42.8,425000
Lodz,3,103,1675000
Lodz,2,49.85,540000
Lodz,3,68,700000
Lodz,2,50,600000
Lodz,3,52,999975
Warsaw,2,68.5,565000
Warsaw,2,58,1000000
Warsaw,4,142,1375000
Warsaw,3,68,1050000
Warsaw,3,115,2075000
Warsaw,1,38,500000
Warsaw,1,40,462500
Warsaw,3,117,2050000
Warsaw,1,40,650000
Warsaw,2,60,1550000
Warsaw,4,181,2125000
Warsaw,3,115,2125000
Warsaw,2,45,425000
Warsaw,4,62,500000
Warsaw,2,52,750000
Warsaw,3,119,2125000
Warsaw,1,42,725000
Warsaw,3,80,2000000
Warsaw,3,120,2425000
Warsaw,1,48,730000
Warsaw,1,49,800000
Warsaw,2,69,1137500
Warsaw,2,54,625000
Warsaw,2,54,500000
Warsaw,3,102,10500
Warsaw,3,93,1750000
Warsaw,1,40,675000
Warsaw,2,77,700000
Warsaw,1,47,800000
Warsaw,1,42,700000
Warsaw,1,44,412500
Warsaw,3,77.1,754600
Warsaw,3,57,700000
Warsaw,1,40.7,386650
Warsaw,3,58,675000
Warsaw,1,37,375000
Warsaw,2,70,1900000
Warsaw,1,49.78,871150
Warsaw,2,60,1200000
Warsaw,2,84,975000
Warsaw,1,42,737500
Warsaw,3,86,1875000
Warsaw,1,37,700000
Warsaw,1,40.2,525000
Warsaw,2,65,800000
Warsaw,1,30,325000
Warsaw,2,77,1075000
Ternopil,2,72,1749975
Ternopil,2,52.37,13900
Ternopil,2,51,11200
Ternopil,2,62,699470
Ternopil,2,53,1125000
Ternopil,3,82,1250000
Ternopil,2,63,1550000
Ternopil,2,50,10902
Ternopil,2,73,1375000
Ternopil,1,39,672500
Ternopil,1,40,672500
Ternopil,1,40,550000
Ternopil,1,40,550000
Ternopil,1,41.2,637500
Ternopil,1,49.9,800000
Ternopil,2,49,875000
Ternopil,1,46,1050000
Ternopil,1,50,825000
Ternopil,2,72,1750000
Brno,5,183,1900000
Brno,3,101,4000000
Brno,2,84.8,1962500
Brno,2,40,1000000
Brno,2,71,2099750
Brno,3,72.31,12900
Brno,2,50.22,12900
Brno,2,50,2042000
Brno,1,36,875000
Brno,3,71,1475000
Brno,2,64.52,18500
Brno,1,32.96,576800
Brno,1,46,515280
Brno,2,51,619200
Brno,5,180,37500
Brno,1,44,1300000
Brno,1,46.7,1875000
Brno,2,60,20000
Brno,1,39.19,912500
Brno,2,98,27500
Brno,1,41,377384
Brno,1,46.63,391692
Brno,3,91,27500
Brno,3,94.2,14500
Brno,2,60,25000
Brno,1,36.5,897500
Brno,3,104,5275000
Brno,3,80,970000
Brno,1,36.4,897500
